player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Zay Flowers,BAL,WR,13,27.4,ffcalc-ppr-10tm-2026-08-02,232.6,17,field-stretching Z,low,field-stretching Z; 79 catches for 1117 yards projected
Rashee Rice,KC,WR,5,17.4,ffcalc-ppr-10tm-2026-08-02,249.7,17,alpha X,high,alpha X; 96 catches for 1117 yards projected; status 2026-08-02: cleared to participate in training camp after knee recovery [source: https://www.nfl.com/news/chiefs-qb-patrick-mahomes-knee-fully-cleared-to-participate-in-training-camp]
Josh Jacobs,GB,RB,11,24.6,ffcalc-ppr-10tm-2026-08-02,244.2,17,three-down bell cow,low,three-down bell cow; 282 carries + 35 catches projected
DeVonta Smith,PHI,WR,10,28.9,ffcalc-ppr-10tm-2026-08-02,231.2,17,big slot,low,big slot; 83 catches for 1122 yards projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
Tee Higgins,CIN,WR,6,38.2,ffcalc-ppr-10tm-2026-08-02,203.6,17,big slot,med,big slot; 65 catches for 906 yards projected
Josh Allen,BUF,QB,7,26.7,ffcalc-ppr-10tm-2026-08-02,366.2,17,rushing QB,low,rushing QB; 567 rushing yards projected
Garrett Wilson,NYJ,WR,13,27.8,ffcalc-ppr-10tm-2026-08-02,245.5,17,undisputed WR1,med,alpha X; 100 catches for 1155 yards projected; status 2026-08-02: officially identified undisputed WR1 [source: https://www.newyorkjets.com/news/what-have-we-learned-from-jets-otas-06-05-2026]
Trey McBride,ARI,TE,14,34.2,ffcalc-ppr-10tm-2026-08-02,250.9,17,move TE,low,move TE; 104 catches for 1049 yards projected
Breece Hall,NYJ,RB,13,27.8,ffcalc-ppr-10tm-2026-08-02,245.5,17,RB1; not proven every-down,low,three-down bell cow; 258 carries + 47 catches projected; status 2026-08-02: officially identified RB1 ahead of Allen and Davis [source: https://www.newyorkjets.com/news/what-have-we-learned-from-jets-otas-06-05-2026]
Kyren Williams,LAR,RB,11,32.4,ffcalc-ppr-10tm-2026-08-02,247.6,17,three-down bell cow,high,three-down bell cow; 249 carries + 34 catches projected
Tetairoa McMillan,CAR,WR,5,33.6,ffcalc-ppr-10tm-2026-08-02,222.1,17,big slot,low,big slot; 78 catches for 1081 yards projected
Javonte Williams,DAL,RB,14,34.7,ffcalc-ppr-10tm-2026-08-02,233.3,17,three-down bell cow,med,three-down bell cow; 251 carries + 33 catches projected; status 2026-08-02: Javonte Williams is definitive RB1; RB2 contingency among Malik Davis Jaydon Blue and Phil Mafah unresolved; role context: Williams lead; RB2 unresolved [source: https://www.dallascowboys.com/news/cowboys-depth-chart-updated-look-at-offensive-starters-for-2026]
Brock Bowers,LV,TE,13,38.9,ffcalc-ppr-10tm-2026-08-02,253.8,17,move TE,low,move TE; 103 catches for 1088 yards projected
Terry McLaurin,WAS,WR,7,42.1,ffcalc-ppr-10tm-2026-08-02,194.7,17,field-stretching Z,high,field-stretching Z; 65 catches for 937 yards projected
Ladd McConkey,LAC,WR,7,42.3,ffcalc-ppr-10tm-2026-08-02,207.6,17,big slot,low,big slot; 76 catches for 956 yards projected
Cam Skattebo,NYG,RB,8,33.3,ffcalc-ppr-10tm-2026-08-02,247.4,17,three-down bell cow,med,three-down bell cow; 262 carries + 46 catches projected
Travis Etienne,NO,RB,8,36.6,ffcalc-ppr-10tm-2026-08-02,226.9,17,lead committee,med,three-down bell cow; 246 carries + 44 catches projected; status 2026-08-02: lead-committee hypothesis; Kamara remains a receiving and committee competitor [source: https://www.neworleanssaints.com/news/what-to-watch-for-at-new-orleans-saints-training-camp-2026]
Jaylen Waddle,DEN,WR,10,47.8,ffcalc-ppr-10tm-2026-08-02,206.7,17,environment addition; target split unresolved,med,big slot; 72 catches for 987 yards projected; status 2026-08-02: intentional passing-game addition alongside Sutton and Engram; target split unresolved [source: https://www.denverbroncos.com/news/broncos-camp-preview-how-will-the-addition-of-wr-jaylen-waddle-elevate-denver-s-passing-game]
Davante Adams,LAR,WR,11,41.5,ffcalc-ppr-10tm-2026-08-02,221.1,17,big slot,low,big slot; 70 catches for 911 yards projected
Emeka Egbuka,TB,WR,10,36.7,ffcalc-ppr-10tm-2026-08-02,224.6,17,flexible Z receiver,med,big slot; 78 catches for 1046 yards projected; status 2026-08-02: flexible Z receiver carving out a role in camp [source: https://www.buccaneers.com/news/training-camp-takeaways-practice-day-3]
Malik Nabers,NYG,WR,8,41.2,ffcalc-ppr-10tm-2026-08-02,224.7,17,big slot,med,big slot; 77 catches for 1044 yards projected; status 2026-08-02: avoided PUP while recovering from ACL tear and second scar-tissue clean-up [source: https://www.nfl.com/news/giants-wr-malik-nabers-avoids-pup-list-training-camp]
Colston Loveland,CHI,TE,10,58.8,ffcalc-ppr-10tm-2026-08-02,193.8,17,TE competition qualified,med,move TE; 73 catches for 848 yards projected; status 2026-08-02: active TE with Kmet and Roush target competition [source: https://www.chicagobears.com/news/bears-2026-training-camp-position-preview-tight-end]
Bucky Irving,TB,RB,10,42.4,ffcalc-ppr-10tm-2026-08-02,229.0,17,lead committee; Gainwell receiving,med,three-down bell cow; 261 carries + 39 catches projected; status 2026-08-02: lead back with meaningful Gainwell receiving and change-of-pace competition [source: https://www.buccaneers.com/news/buccaneers-offensive-preview-training-camp-2026]
D'Andre Swift,CHI,RB,10,45.4,ffcalc-ppr-10tm-2026-08-02,223.5,17,lead two-back committee,high,three-down bell cow; 233 carries + 39 catches projected; status 2026-08-02: lead back in a two-back structure [source: https://www.chicagobears.com/news/bears-2026-training-camp-position-preview-running-back]
Luther Burden III,CHI,WR,10,52.3,ffcalc-ppr-10tm-2026-08-02,201.9,17,big slot,low,big slot; 70 catches for 926 yards projected
Joe Burrow,CIN,QB,6,54.9,ffcalc-ppr-10tm-2026-08-02,301.3,17,pocket QB,med,pocket QB; 182 rushing yards projected; status 2026-08-02: present in current camp reporting with no high-impact restriction found [source: https://www.bengals.com/news/five-observations-day-4-bengals-training-camp-august-1-2026]
Jameson Williams,DET,WR,6,47.5,ffcalc-ppr-10tm-2026-08-02,221.0,17,field-stretching Z,med,field-stretching Z; 66 catches for 1088 yards projected
Quinshon Judkins,CLE,RB,11,48.7,ffcalc-ppr-10tm-2026-08-02,208.3,17,conditional lead/early-down committee,med,three-down bell cow; 275 carries + 30 catches projected; status 2026-08-02: practicing after ankle dislocation and fibula-fracture surgery; lead role needs padded validation [source: https://www.clevelandbrowns.com/news/quinshon-judkins-feels-confident-in-return-from-injury-entering-year-2]
Mike Evans,SF,WR,8,58.5,ffcalc-ppr-10tm-2026-08-02,206.5,17,big slot,low,big slot; 69 catches for 955 yards projected
Tyler Warren,IND,TE,13,64.8,ffcalc-ppr-10tm-2026-08-02,191.6,17,move TE,low,move TE; 78 catches for 836 yards projected
Rome Odunze,CHI,WR,10,53.2,ffcalc-ppr-10tm-2026-08-02,201.5,17,field-stretching Z,low,field-stretching Z; 65 catches for 945 yards projected
Lamar Jackson,BAL,QB,13,53.9,ffcalc-ppr-10tm-2026-08-02,318.8,17,rushing QB,low,rushing QB; 646 rushing yards projected
David Montgomery,HOU,RB,8,60.6,ffcalc-ppr-10tm-2026-08-02,199.9,17,early-down committee back,high,early-down committee back; 217 carries + 34 catches projected; status 2026-08-02: current HOU assignment is unverified by adjudicating official roster or transaction evidence [source: https://www.nfl.com/transactions/league/signings/2026/7]
DK Metcalf,PIT,WR,9,64.7,ffcalc-ppr-10tm-2026-08-02,197.4,17,field-stretching Z,low,field-stretching Z; 67 catches for 944 yards projected
TreVeyon Henderson,NE,RB,11,56.4,ffcalc-ppr-10tm-2026-08-02,197.3,17,early-down committee back,high,early-down committee back; 182 carries + 36 catches projected
Dak Prescott,DAL,QB,14,64.9,ffcalc-ppr-10tm-2026-08-02,295.3,17,pocket QB,med,pocket QB; 161 rushing yards projected
Christian Watson,GB,WR,11,66.3,ffcalc-ppr-10tm-2026-08-02,205.2,17,field-stretching Z,low,field-stretching Z; 65 catches for 982 yards projected
Bhayshul Tuten,JAC,RB,7,55.7,ffcalc-ppr-10tm-2026-08-02,226.3,17,lead early-down committee,med,three-down bell cow; 257 carries + 38 catches projected; status 2026-08-02: projected lead early-down back in a three-way committee [source: https://www.nfl.com/news/afc-south-training-camp-2026-preview-texans-colts-jaguars-titans]
Drake Maye,NE,QB,11,51.6,ffcalc-ppr-10tm-2026-08-02,324.9,17,rushing QB,low,rushing QB; 433 rushing yards projected; status 2026-08-02: locked QB1 with promising multi-level passing context [source: https://www.patriots.com/news/drake-maye-discusses-his-goals-for-patriots-training-camp-heading-into-third-season]
Carnell Tate,TEN,WR,9,73.3,ffcalc-ppr-10tm-2026-08-02,181.7,17,big slot,med,big slot; 65 catches for 867 yards projected
Alec Pierce,IND,WR,13,63.1,ffcalc-ppr-10tm-2026-08-02,197.7,17,field-stretching Z,high,field-stretching Z; 66 catches for 1017 yards projected; status 2026-08-02: active/PUP and not practicing [source: https://www.colts.com/news/cj-allen-alec-pierce-pup-list-injury-updates-status-2026-training-camp]
Jaylen Warren,PIT,RB,9,65.5,ffcalc-ppr-10tm-2026-08-02,201.3,17,early-down committee back,high,early-down committee back; 190 carries + 41 catches projected
Marvin Harrison Jr.,ARI,WR,14,65.8,ffcalc-ppr-10tm-2026-08-02,193.3,17,field-stretching Z,med,field-stretching Z; 64 catches for 933 yards projected; status 2026-08-02: foot issue monitor with no current designation or timetable [source: https://www.azcardinals.com/news/marvin-harrison-jr-finds-greater-appreciation-after-injury-filled-season]
D.J. Moore,BUF,WR,7,60.4,ffcalc-ppr-10tm-2026-08-02,207.0,17,early chemistry; no settled hierarchy,med,big slot; 71 catches for 955 yards projected; status 2026-08-02: early Allen chemistry in intermediate downfield and red-zone work [source: https://www.buffalobills.com/news/what-we-learned-about-the-bills-on-day-3-of-training-camp-2026]
Harold Fannin Jr.,CLE,TE,11,76.8,ffcalc-ppr-10tm-2026-08-02,187.1,17,move TE,low,move TE; 77 catches for 801 yards projected
Tony Pollard,TEN,RB,9,63.2,ffcalc-ppr-10tm-2026-08-02,197.2,17,three-down bell cow,med,three-down bell cow; 242 carries + 32 catches projected
Michael Pittman Jr.,PIT,WR,9,71.4,ffcalc-ppr-10tm-2026-08-02,193.7,17,big slot,low,big slot; 76 catches for 877 yards projected
Rhamondre Stevenson,NE,RB,11,71.8,ffcalc-ppr-10tm-2026-08-02,181.7,17,early-down committee back,high,early-down committee back; 163 carries + 38 catches projected; status 2026-08-02: planned limited-practice workload; no injury diagnosis established [source: https://www.patriots.com/news/transcript-head-coach-mike-vrabel-press-conference-8-1-x6174]
Jadarian Price,SEA,RB,11,65.8,ffcalc-ppr-10tm-2026-08-02,185.3,17,open backfield competition,high,early-down committee back; 195 carries + 31 catches projected; status 2026-08-02: open-camp competitor with Holani and Wilson; Charbonnet return timing unresolved [source: https://www.seahawks.com/news/training-camp-storylines-does-rookie-jadarian-price-win-the-starting-job]
Courtland Sutton,DEN,WR,10,65.0,ffcalc-ppr-10tm-2026-08-02,189.8,17,big slot,low,big slot; 63 catches for 848 yards projected
Sam LaPorta,DET,TE,6,83.7,ffcalc-ppr-10tm-2026-08-02,163.5,17,move TE,low,move TE; 60 catches for 735 yards projected
Tucker Kraft,GB,TE,11,110.1,ffcalc-ppr-10tm-2026-08-02,159.4,17,move TE,high,move TE; 57 catches for 724 yards projected; status 2026-08-02: ACL-return participation and list status not yet verified [source: https://www.packers.com/news/tucker-kraft-s-goal-is-to-start-week-1-on-no-pitch-count-june-11-2026]
Parker Washington,JAC,WR,7,77.1,ffcalc-ppr-10tm-2026-08-02,158.6,17,big slot,high,big slot; 58 catches for 766 yards projected
Chris Godwin,TB,WR,10,86.0,ffcalc-ppr-10tm-2026-08-02,175.9,17,big slot,low,big slot; 68 catches for 779 yards projected
Rico Dowdle,PIT,RB,9,75.1,ffcalc-ppr-10tm-2026-08-02,166.4,17,early-down committee back,high,early-down committee back; 186 carries + 30 catches projected
Chuba Hubbard,CAR,RB,5,77.8,ffcalc-ppr-10tm-2026-08-02,188.5,17,lead back; not bell cow,med,early-down committee back; 217 carries + 34 catches projected; status 2026-08-02: healthy clear rushing leader with Brooks return risk remaining [source: https://www.panthers.com/news/panthers-pre-training-camp-2026-positional-preview-offense]
Justin Herbert,LAC,QB,7,103.0,ffcalc-ppr-10tm-2026-08-02,290.8,17,rushing QB,med,rushing QB; 427 rushing yards projected
Jordyn Tyson,NO,WR,8,82.8,ffcalc-ppr-10tm-2026-08-02,163.3,17,big slot,med,big slot; 61 catches for 783 yards projected
Michael Wilson,ARI,WR,14,88.0,ffcalc-ppr-10tm-2026-08-02,172.2,17,big slot,low,big slot; 66 catches for 822 yards projected
Brian Thomas Jr.,JAC,WR,7,83.1,ffcalc-ppr-10tm-2026-08-02,167.4,17,field-stretching Z,low,field-stretching Z; 56 catches for 814 yards projected
Kyle Pitts,ATL,TE,11,80.9,ffcalc-ppr-10tm-2026-08-02,185.6,17,move TE,low,move TE; 76 catches for 856 yards projected
Jayden Daniels,WAS,QB,7,71.8,ffcalc-ppr-10tm-2026-08-02,309.0,17,rushing QB,low,rushing QB; 642 rushing yards projected; status 2026-08-02: fully healthy entering the David Blough offense and established QB1 [source: https://www.commanders.com/news/commanders-2026-training-camp-preview-running-back]
Trevor Lawrence,JAC,QB,7,88.9,ffcalc-ppr-10tm-2026-08-02,290.0,17,pocket QB,med,pocket QB; 301 rushing yards projected
Jayden Reed,GB,WR,11,91.0,ffcalc-ppr-10tm-2026-08-02,184.3,17,big slot,med,big slot; 66 catches for 815 yards projected
Josh Downs,IND,WR,13,91.7,ffcalc-ppr-10tm-2026-08-02,168.7,17,big slot,low,big slot; 71 catches for 737 yards projected
Patrick Mahomes,KC,QB,5,99.8,ffcalc-ppr-10tm-2026-08-02,288.7,17,pocket QB,med,pocket QB; 315 rushing yards projected
Wan'Dale Robinson,TEN,WR,9,78.4,ffcalc-ppr-10tm-2026-08-02,180.6,17,big slot,med,big slot; 77 catches for 796 yards projected
RJ Harvey,DEN,RB,10,88.2,ffcalc-ppr-10tm-2026-08-02,165.9,17,early-down committee back,high,early-down committee back; 121 carries + 44 catches projected
Jordan Addison,MIN,WR,6,98.2,ffcalc-ppr-10tm-2026-08-02,163.8,17,big slot,low,big slot; 55 catches for 769 yards projected
Travis Kelce,KC,TE,5,95.5,ffcalc-ppr-10tm-2026-08-02,174.1,17,move TE,low,move TE; 73 catches for 771 yards projected
Jalen Hurts,PHI,QB,10,76.1,ffcalc-ppr-10tm-2026-08-02,313.8,17,rushing QB,med,rushing QB; 456 rushing yards projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
J.K. Dobbins,DEN,RB,10,90.7,ffcalc-ppr-10tm-2026-08-02,173.2,17,entering-camp RB leader,high,early-down committee back; 206 carries + 16 catches projected; status 2026-08-02: entering-camp RB-room leader; complementary share remains unresolved [source: https://www.denverbroncos.com/news/broncos-camp-preview-j-k-dobbins-leads-denver-s-rb-room-as-broncos-prioritize-a-consistent-rushing-attack]
Seattle Seahawks,SEA,DST,11,97.1,ffcalc-ppr-10tm-2026-08-02,111.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Jakobi Meyers,JAC,WR,7,80.7,ffcalc-ppr-10tm-2026-08-02,177.1,17,big slot,med,big slot; 67 catches for 782 yards projected
Jared Goff,DET,QB,6,103.5,ffcalc-ppr-10tm-2026-08-02,291.4,17,pocket QB,low,pocket QB; 50 rushing yards projected
Aaron Jones,MIN,RB,6,94.3,ffcalc-ppr-10tm-2026-08-02,148.0,17,1a committee back,high,early-down committee back; 143 carries + 37 catches projected; status 2026-08-02: active 1a back in a 1a/1b committee with Mason [source: https://www.vikings.com/news/jordan-mason-running-back-nfl-2026-fantasy-football]; status 2026-08-02: Aaron Jones and Jordan Mason remain a 1a/1b committee; role context: Jones/Mason 1a/1b committee [source: https://www.vikings.com/news/jordan-mason-running-back-nfl-2026-fantasy-football]
Quentin Johnston,LAC,WR,7,97.2,ffcalc-ppr-10tm-2026-08-02,156.7,17,field-stretching Z,low,field-stretching Z; 50 catches for 707 yards projected
Brock Purdy,SF,QB,8,80.8,ffcalc-ppr-10tm-2026-08-02,287.0,17,pocket QB,low,pocket QB; 286 rushing yards projected
Kenneth Gainwell,TB,RB,10,,,138.4,17,receiving/change-of-pace back,high,passing-down back; 100 carries + 37 catches projected; status 2026-08-02: active receiving and change-of-pace competitor behind Irving [source: https://www.buccaneers.com/news/buccaneers-offensive-preview-training-camp-2026]
Xavier Worthy,KC,WR,5,104.8,ffcalc-ppr-10tm-2026-08-02,168.1,17,big slot,low,big slot; 57 catches for 735 yards projected
Denver Broncos,DEN,DST,10,96.9,ffcalc-ppr-10tm-2026-08-02,117.8,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Rachaad White,WAS,RB,7,100.5,ffcalc-ppr-10tm-2026-08-02,175.9,17,early-down committee back,high,early-down committee back; 141 carries + 44 catches projected; status 2026-08-02: multi-back design with White receiving utility JCM lead-back possibility and Allen short-yardage competition; role context: multi-back conditional roles [source: https://www.commanders.com/news/commanders-players-to-watch-2026-training-camp]
Khalil Shakir,BUF,WR,7,102.9,ffcalc-ppr-10tm-2026-08-02,172.6,17,big slot,med,big slot; 72 catches for 766 yards projected
Kyle Monangai,CHI,RB,10,98.2,ffcalc-ppr-10tm-2026-08-02,137.7,17,meaningful tandem complement,high,early-down committee back; 176 carries + 20 catches projected; status 2026-08-02: active meaningful complement in the Swift two-back structure [source: https://www.chicagobears.com/news/bears-2026-training-camp-position-preview-running-back]
Matthew Stafford,LAR,QB,11,88.5,ffcalc-ppr-10tm-2026-08-02,285.9,17,pocket QB,low,pocket QB; 22 rushing yards projected
Romeo Doubs,NE,WR,11,107.1,ffcalc-ppr-10tm-2026-08-02,163.9,17,big slot,low,big slot; 58 catches for 759 yards projected
Makai Lemon,PHI,WR,10,101.6,ffcalc-ppr-10tm-2026-08-02,147.7,17,big slot,med,big slot; 47 catches for 558 yards projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
Los Angeles Rams,LAR,DST,11,130.2,ffcalc-ppr-10tm-2026-08-02,80.5,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
George Kittle,SF,TE,8,109.5,ffcalc-ppr-10tm-2026-08-02,138.5,17,move TE,high,move TE; 53 catches for 615 yards projected; status 2026-08-02: active/PUP with Achilles recovery; Week 1 unresolved [source: https://www.nfl.com/news/nfl-news-roundup-latest-league-updates-from-saturday-july-25]
Caleb Williams,CHI,QB,10,102.6,ffcalc-ppr-10tm-2026-08-02,300.0,17,rushing QB,med,rushing QB; 412 rushing yards projected
Houston Texans,HOU,DST,8,106.6,ffcalc-ppr-10tm-2026-08-02,128.3,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Matthew Golden,GB,WR,11,119.3,ffcalc-ppr-10tm-2026-08-02,154.2,17,big slot,low,big slot; 54 catches for 702 yards projected
New England Patriots,NE,DST,11,139.0,ffcalc-ppr-10tm-2026-08-02,87.4,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Jalen Coker,CAR,WR,5,127.2,ffcalc-ppr-10tm-2026-08-02,112.1,17,big slot,med,big slot; 42 catches for 521 yards projected
Bo Nix,DEN,QB,10,121.2,ffcalc-ppr-10tm-2026-08-02,298.2,17,rushing QB,med,rushing QB; 362 rushing yards projected
Jake Ferguson,DAL,TE,14,131.4,ffcalc-ppr-10tm-2026-08-02,159.5,17,move TE,low,move TE; 71 catches for 585 yards projected
KC Concepcion,CLE,WR,11,126.3,ffcalc-ppr-10tm-2026-08-02,153.6,17,big slot,low,big slot; 58 catches for 752 yards projected
Blake Corum,LAR,RB,11,117.9,ffcalc-ppr-10tm-2026-08-02,132.4,17,goal-line back,high,goal-line back; 159 carries + 13 catches projected
Jaxson Dart,NYG,QB,8,106.4,ffcalc-ppr-10tm-2026-08-02,297.2,17,rushing QB,med,rushing QB; 564 rushing yards projected
Jayden Higgins,HOU,WR,8,134.1,ffcalc-ppr-10tm-2026-08-02,123.1,17,big slot,low,big slot; 47 catches for 581 yards projected
Jordan Mason,MIN,RB,6,121.4,ffcalc-ppr-10tm-2026-08-02,131.3,17,1b committee back,high,early-down committee back; 189 carries + 12 catches projected; status 2026-08-02: active 1b back in a 1a/1b committee with Jones [source: https://www.vikings.com/news/jordan-mason-running-back-nfl-2026-fantasy-football]; status 2026-08-02: Aaron Jones and Jordan Mason remain a 1a/1b committee; role context: Jones/Mason 1a/1b committee [source: https://www.vikings.com/news/jordan-mason-running-back-nfl-2026-fantasy-football]
Jacory Croskey-Merritt,WAS,RB,7,115.5,ffcalc-ppr-10tm-2026-08-02,136.5,17,goal-line back,high,goal-line back; 172 carries + 11 catches projected; status 2026-08-02: multi-back design with White receiving utility JCM lead-back possibility and Allen short-yardage competition; role context: multi-back conditional roles [source: https://www.commanders.com/news/commanders-players-to-watch-2026-training-camp]
Jonathon Brooks,CAR,RB,5,120.8,ffcalc-ppr-10tm-2026-08-02,130.5,17,early-down committee back,high,early-down committee back; 109 carries + 27 catches projected
Dallas Goedert,PHI,TE,10,116.3,ffcalc-ppr-10tm-2026-08-02,156.5,17,move TE,low,move TE; 58 catches for 625 yards projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
Tyjae Spears,TEN,RB,9,121.8,ffcalc-ppr-10tm-2026-08-02,115.9,17,handcuff,high,handcuff; 86 carries + 38 catches projected
Brandon Aubrey,DAL,K,14,129.7,ffcalc-ppr-10tm-2026-08-02,173.7,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Baker Mayfield,TB,QB,10,129.2,ffcalc-ppr-10tm-2026-08-02,264.6,17,passer; not rushing QB,low,rushing QB; 366 rushing yards projected; status 2026-08-02: active system leader and passer; no rushing-QB inference supported [source: https://www.buccaneers.com/news/buccaneers-offensive-preview-training-camp-2026]
Philadelphia Eagles,PHI,DST,10,140.3,ffcalc-ppr-10tm-2026-08-02,100.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
