corrected_rank,old_rank,delta,player,team,gp,mpg,fg_pct,fga_proj,ft_pct,fta_proj,volume_source,z,corrected_total_rank,corrected_points_rank,old_points_rank
129,157,28,Bennedict Mathurin,LAC,65.0,29.0,0.44,12.4,0.865,6.0,recovered,-0.265,122,103,110
130,147,17,Santi Aldama,DAL,62.0,24.0,0.475,9.9,0.7,2.3,stated,-0.286,136,111,127
131,155,24,Jeremiah Fears,NOP,80.0,28.0,0.438,13.7,0.795,3.3,recovered,-0.420,83,90,121
132,130,-2,Christian Braun,DEN,63.0,30.0,0.515,9.2,0.79,2.4,stated,-0.438,135,147,147
133,129,-4,Egor Dëmin,BKN,67.0,29.0,0.42,11.4,0.83,1.5,recovered,-0.452,124,124,129
134,117,-17,Sandro Mamukelashvili,LAL,72.0,24.0,0.515,9.5,0.755,2.3,stated,-0.475,106,142,134
135,150,15,Peyton Watson,DEN,62.0,26.0,0.485,9.4,0.74,3.0,stated,-0.532,142,135,148
136,152,16,Max Christie,DAL,74.0,29.0,0.45,9.7,0.88,1.8,stated,-0.537,100,159,165
137,143,6,Tari Eason,HOU,58.0,25.0,0.425,9.6,0.78,1.1,recovered,-0.537,163,143,158
138,135,-3,Anthony Black,ORL,70.0,26.0,0.45,10.4,0.75,2.8,stated,-0.570,118,126,142
139,178,39,Jaime Jaquez Jr,MIL,72.0,28.0,0.5,10.5,0.77,3.0,stated,-0.653,111,92,139
140,146,6,Keaton Wagler,LAC,70.0,28.0,0.435,11.7,0.81,2.8,estimated,-0.663,119,114,125
141,141,0,Isaiah Joe,DET,72.0,23.0,0.45,8.2,0.88,1.8,recovered,-0.666,110,186,183
142,174,32,Davion Mitchell,MIA,72.0,29.0,0.475,7.9,0.67,0.9,recovered,-0.674,112,138,151
143,181,38,Mitchell Robinson,BOS,58.0,20.0,0.71,3.6,0.42,1.7,recovered,-0.759,170,150,191
144,148,4,Morez Johnson Jr,DAL,70.0,17.0,0.57,6.2,0.73,2.0,stated,-0.788,115,162,173
145,165,20,Gui Santos,GSW,72.0,27.0,0.48,10.2,0.755,2.4,recovered,-0.920,120,132,141
146,149,3,Mikel Brown Jr,BKN,68.0,29.0,0.425,11.8,0.84,2.9,estimated,-0.920,134,107,118
147,183,36,De'Andre Hunter,SAC,68.0,28.0,0.438,11.4,0.852,3.4,recovered,-0.942,132,136,169
148,176,28,Wendell Carter Jr,ORL,68.0,24.0,0.515,6.7,0.79,2.3,stated,-0.975,130,160,166
149,160,11,RJ Barrett,TOR,67.0,31.0,0.486,13.5,0.725,5.0,recovered,-0.998,138,83,89
150,212,62,Rui Hachimura,LAC,65.0,27.0,0.51,9.4,0.72,1.0,recovered,-1.053,146,171,212
151,168,17,Jaylon Tyson,CLE,72.0,27.0,0.465,9.5,0.75,1.6,recovered,-1.064,121,146,157
152,156,4,Grayson Allen,CHA,58.0,22.0,0.415,9.5,0.855,2.5,recovered,-1.089,177,163,168
153,163,10,Naji Marshall,DAL,70.0,27.0,0.5,10.4,0.76,3.2,stated,-1.127,133,133,145
154,169,15,Josh Minott,BKN,65.0,18.0,0.49,6.4,0.79,1.3,recovered,-1.187,148,198,201
155,164,9,Aaron Nesmith,IND,62.0,26.0,0.447,7.8,0.835,2.2,recovered,-1.187,159,175,178
156,173,17,Draymond Green,GSW,62.0,27.0,0.43,6.8,0.71,1.2,recovered,-1.218,164,129,140
157,172,15,Jusuf Nurkic,UTA,58.0,23.0,0.505,7.4,0.62,2.4,recovered,-1.228,188,102,116
158,189,31,Bobby Portis,MIA,68.0,24.0,0.495,9.9,0.73,1.0,recovered,-1.235,137,153,171
159,170,11,Kelly Oubre Jr,IND,62.0,25.0,0.455,8.9,0.765,2.3,recovered,-1.244,168,164,170
160,159,-1,Darius Acuff Jr,SAC,72.0,31.0,0.439,15.3,0.817,3.1,estimated,-1.315,131,84,88
161,167,6,Collin Sexton,LAL,68.0,24.0,0.48,10.0,0.855,3.2,stated,-1.388,143,149,161
162,177,15,Kris Dunn,LAC,72.0,22.0,0.455,5.4,0.76,0.8,recovered,-1.471,139,184,195
163,131,-32,Tobias Harris,SAS,65.0,21.0,0.475,8.1,0.86,1.9,recovered,-1.488,155,173,159
164,211,47,Jerami Grant,MEM,60.0,24.0,0.445,8.8,0.815,3.6,stated,-1.605,180,151,177
165,151,-14,Malik Monk,SAC,68.0,25.0,0.44,10.6,0.86,1.9,recovered,-1.636,150,155,149
166,175,9,Max Strus,CLE,65.0,26.0,0.434,8.4,0.81,0.9,recovered,-1.664,161,168,172
167,184,17,Paul Reed,DET,65.0,15.0,0.6,4.6,0.68,1.8,recovered,-1.781,167,196,205
168,188,20,Karlo Matković,NOP,62.0,17.0,0.59,4.8,0.73,0.8,recovered,-1.788,172,214,219
169,180,11,Brook Lopez,LAC,66.0,22.0,0.43,7.1,0.77,1.0,recovered,-1.793,160,185,189
170,179,9,Miles McBride,NYK,64.0,23.0,0.425,8.4,0.8,1.0,recovered,-1.831,175,195,187
171,182,11,Al Horford,GSW,50.0,18.0,0.44,5.8,0.82,0.5,recovered,-1.968,225,200,202
172,187,15,Ryan Kalkbrenner,CHA,66.0,16.0,0.74,3.4,0.72,1.3,recovered,-2.057,162,223,228
173,186,13,Tim Hardaway Jr,MIA,74.0,25.0,0.445,8.8,0.82,2.3,recovered,-2.113,145,199,188
174,209,35,Ja'Kobe Walter,TOR,70.0,22.0,0.435,7.0,0.79,1.4,recovered,-2.173,165,213,235
175,,,Joan Beringer,MIN,62.0,16.0,0.64,4.9,0.62,1.6,estimated,-2.211,189,187,
176,,,Adam Flagler,SAC,36.0,30.7,0.438,14.5,0.835,3.1,estimated,-2.277,253,140,
177,193,16,Isaiah Jackson,LAC,64.0,18.0,0.62,4.6,0.65,2.1,recovered,-2.323,190,183,200
178,224,46,Jake LaRavia,LAL,74.0,22.0,0.465,4.8,0.78,1.2,stated,-2.324,153,206,249
179,171,-8,Jalen Green,PHX,67.0,31.9,0.426,16.1,0.797,2.9,stated,-2.351,181,123,94
180,,,Tucker DeVries,BOS,36.0,29.8,0.416,13.6,0.775,3.0,estimated,-2.359,254,120,
181,198,17,Hannes Steinbach,CHA,70.0,18.0,0.52,6.7,0.755,1.8,estimated,-2.362,166,172,179
182,,,Brandon Williams,DAL,24.0,26.7,0.372,2.5,0.701,0.5,stated,-2.397,259,139,
183,242,59,Yves Missi,NOP,68.0,21.0,0.56,4.8,0.585,1.6,recovered,-2.407,171,169,232
184,52,-132,Josh Giddey,CHI,54.0,31.5,0.419,10.2,0.709,4.1,recovered,-2.437,229,75,17
185,194,9,Alex Caruso,OKC,58.0,17.0,0.43,4.7,0.8,0.9,stated,-2.437,218,233,231
186,,,Jamir Watkins,WAS,50.0,20.6,0.446,5.7,0.695,2.1,estimated,-2.506,240,203,
187,232,45,Zaccharie Risacher,DAL,75.0,24.6,0.458,10.9,0.711,1.4,recovered,-2.554,158,167,223
188,202,14,T.J. McConnell,IND,58.0,15.0,0.53,6.6,0.8,0.4,recovered,-2.566,217,202,210
189,200,11,Pelle Larsson,MIA,72.0,24.0,0.495,7.0,0.8,3.0,recovered,-2.573,169,174,180
190,195,5,Duncan Robinson,DET,70.0,21.0,0.45,7.4,0.82,1.1,recovered,-2.614,174,222,217
191,217,26,Luguentz Dort,ATL,68.0,27.0,0.4,7.8,0.76,0.9,stated,-2.620,191,207,229
192,,,Patrick Williams,CHI,71.0,27.9,0.483,6.6,0.728,2.8,estimated,-2.623,176,177,
193,190,-3,Sam Merrill,CLE,66.0,20.0,0.43,7.3,0.87,1.0,recovered,-2.745,197,226,220
194,64,-130,Matas Buzelis,CHI,80.0,18.9,0.454,6.3,0.815,2.0,recovered,-2.780,144,212,69
195,206,11,Dean Wade,PHI,62.0,23.0,0.44,4.8,0.75,0.6,recovered,-2.785,206,229,224
196,,,Corey Kispert,ATL,77.0,23.4,0.455,5.1,0.871,2.3,estimated,-2.786,154,238,
197,215,18,Andre Drummond,NYK,62.0,17.0,0.535,4.8,0.62,1.1,recovered,-2.787,205,180,194
198,,,Maxime Raynaud,SAC,70.0,16.0,0.56,6.7,0.78,1.6,estimated,-2.802,178,192,
199,161,-38,Derrick Jones Jr,LAC,62.0,21.0,0.495,5.5,0.76,1.5,recovered,-2.821,207,228,182
200,197,-3,Jaylen Wells,MEM,68.0,24.0,0.432,10.0,0.79,2.2,stated,-2.829,196,182,174
201,203,2,Bilal Coulibaly,WAS,68.0,18.0,0.43,6.2,0.755,2.2,recovered,-2.845,195,201,206
202,204,2,Kevin Huerter,DET,67.0,18.5,0.445,6.3,0.8,0.8,recovered,-2.873,199,224,222
203,208,5,Jarace Walker,IND,72.0,22.0,0.44,6.9,0.75,2.1,recovered,-2.958,187,181,186
204,,,Danny Wolf,BKN,62.0,20.0,0.425,8.1,0.78,2.0,estimated,-2.972,212,165,
205,111,-94,Miles Bridges,PHX,80.0,21.2,0.464,13.1,0.753,2.9,stated,-2.975,156,211,97
206,214,8,Kyle Filipowski,UTA,72.0,16.0,0.49,5.9,0.75,1.9,recovered,-2.985,185,191,199
207,210,3,Nique Clifford,SAC,74.0,23.0,0.43,8.5,0.75,1.2,recovered,-3.027,183,176,181
208,253,45,Scoot Henderson,POR,58.0,21.0,0.42,10.3,0.81,2.8,recovered,-3.110,230,148,204
209,196,-13,Anfernee Simons,PHI,60.0,23.0,0.44,8.8,0.89,1.3,recovered,-3.140,223,208,209
210,219,9,Royce O'Neale,CHA,70.0,18.0,0.418,5.6,0.73,0.3,recovered,-3.149,198,231,225
211,220,9,Dominick Barlow,PHI,64.0,20.0,0.54,4.5,0.725,1.5,recovered,-3.185,213,225,230
212,213,1,Kingston Flemings,ATL,70.0,19.0,0.43,7.1,0.81,1.9,estimated,-3.185,200,188,197
213,,,Jonathan Mogbo,SAC,63.0,20.4,0.438,5.0,0.732,2.0,estimated,-3.218,221,197,
214,,,Olivier Sarr,CLE,22.0,19.1,0.574,4.2,0.828,1.9,estimated,-3.240,262,234,
215,,,Caris LeVert,MIL,57.0,21.7,0.45,2.8,0.72,0.5,stated,-3.257,236,218,
216,216,0,Noah Clowney,BKN,62.0,17.0,0.415,6.5,0.8,2.1,recovered,-3.262,222,215,214
217,207,-10,Keldon Johnson,SAS,75.0,16.0,0.505,7.3,0.79,1.6,recovered,-3.313,186,217,196
218,255,37,Jamal Shead,TOR,78.0,21.0,0.39,6.5,0.79,1.3,recovered,-3.316,182,189,244
219,185,-34,Cam Spencer,MEM,68.0,15.0,0.468,6.3,0.92,1.4,stated,-3.350,201,239,193
220,191,-29,Isaiah Stewart,MEM,64.0,15.0,0.545,5.7,0.75,1.8,stated,-3.375,215,230,207
221,221,0,Ron Holland II,DET,75.0,18.0,0.44,6.8,0.77,1.7,recovered,-3.382,193,216,218
222,,,Cam Whitmore,WAS,47.0,18.7,0.454,10.3,0.679,1.9,estimated,-3.384,250,178,
223,225,2,Sam Hauser,BOS,70.0,19.0,0.43,5.9,0.87,0.2,recovered,-3.425,202,245,257
224,192,-32,Deandre Ayton,WAS,68.0,16.0,0.635,5.4,0.675,1.2,recovered,-3.429,204,219,175
225,260,35,Walter Clayton Jr,MEM,68.0,20.0,0.395,5.4,0.88,1.4,stated,-3.488,210,193,251
226,226,0,Brayden Burries,MIL,70.0,16.0,0.447,8.2,0.78,2.0,stated,-3.525,208,205,208
227,222,-5,Brice Sensabaugh,UTA,68.0,18.0,0.455,7.8,0.82,2.1,recovered,-3.551,211,221,216
228,,,Buddy Hield,ATL,82.0,23.0,0.426,8.1,0.842,2.3,estimated,-3.630,173,210,
229,229,0,Tarik Biberovic,DAL,60.0,18.0,0.44,7.1,0.85,1.0,stated,-3.641,234,242,238
230,31,-199,Devin Booker,PHX,76.0,27.7,0.423,18.8,0.84,7.5,stated,-3.644,194,166,21
231,233,2,Chaney Johnson,BKN,25.0,15.0,0.51,4.5,0.76,1.5,recovered,-3.729,261,236,240
232,,,Ryan Dunn,PHX,74.0,19.1,0.43,3.1,0.487,0.4,stated,-3.745,203,237,
233,239,6,Isaiah Collier,UTA,70.0,18.0,0.495,6.4,0.73,2.5,recovered,-3.963,224,179,192
234,235,1,Adem Bona,PHI,65.0,16.0,0.61,2.7,0.71,1.5,recovered,-3.972,228,252,255
235,223,-12,Jared McCain,OKC,64.0,17.0,0.455,6.8,0.865,0.9,stated,-3.975,232,246,248
236,243,7,Nae'Qwan Tomlin,CLE,64.0,15.0,0.495,4.6,0.75,1.0,recovered,-4.002,233,251,254
237,,,Jordan Miller,LAC,68.0,17.0,0.515,5.5,0.78,1.7,estimated,-4.005,227,241,
238,199,-39,Hugo Gonzalez,BOS,76.0,16.0,0.474,4.8,0.67,0.4,recovered,-4.109,209,250,198
239,,,Isaac Okoro,CHI,67.0,32.4,0.42,7.6,0.726,3.2,estimated,-4.176,239,194,
240,241,1,Josh Green,MIN,62.0,19.0,0.465,3.9,0.82,0.6,recovered,-4.182,244,262,259
241,248,7,Luke Kennard,PHX,73.0,20.0,0.443,4.2,0.855,0.6,stated,-4.188,220,243,261
242,245,3,Terance Mann,BKN,62.0,17.0,0.475,5.3,0.79,0.9,recovered,-4.188,243,240,246
