team,title,path,gp,mpg,fg_pct,fga,ft_pct,fta,three_pm,pts,reb,ast,stl,blk,tov,nine_cat_z,nine_cat_rank,nine_cat_total_z,nine_cat_total_rank,points_score,points_model_rank
ATL,Jock Landale,Players/ATL/Jock Landale,66.0,17.0,0.52,,0.68,,0.8,8.1,4.5,1.3,0.4,0.4,0.7,-4.40429146263532,240,-3.9513099047512483,236,17.549999999999997,215
ATL,Keshon Gilbert,Players/ATL/Keshon Gilbert,12.0,7.0,0.42,,0.72,,0.2,3.0,1.2,1.3,0.5,0.1,0.8,,,,,,
ATL,Kingston Flemings,Players/ATL/Kingston Flemings,70.0,19.0,0.43,,0.81,,0.8,8.4,2.4,3.8,1.0,0.2,1.6,-3.4566823253516783,213,-3.193754745856639,217,19.38,197
ATL,Mouhamed Gueye,Players/ATL/Mouhamed Gueye,38.0,10.0,0.455,,0.65,,0.3,3.0,2.4,0.6,0.5,0.4,0.3,,,,,,
ATL,Nickeil Alexander-Walker,Players/ATL/Nickeil Alexander-Walker,74.0,33.0,0.455,,0.88,,3.0,19.4,3.5,3.6,1.2,0.5,2.0,3.7397225272242927,37,3.55261638206667,35,33.6,76
ATL,Onyeka Okongwu,Players/ATL/Onyeka Okongwu,72.0,30.0,0.505,,0.75,,1.6,14.4,7.8,3.0,1.0,1.1,1.6,2.679121040286271,57,2.510450468498536,51,33.75999999999999,75
ATL,RayJ Dennis,Players/ATL/RayJ Dennis,18.0,8.0,0.42,,0.75,,0.4,3.7,1.3,2.4,0.5,0.1,0.9,,,,,,
ATL,Zaccharie Risacher,Players/ATL/Zaccharie Risacher,70.0,18.0,0.46,,0.7,,1.2,8.3,3.2,1.0,0.7,0.4,0.8,-4.212819657161599,232,-3.8923775768515636,235,16.740000000000002,223
ATL,Zuby Ejiofor,Players/ATL/Zuby Ejiofor,36.0,8.0,0.515,,0.7,,0.2,3.7,2.5,0.8,0.4,0.5,0.5,,,,,,
BKN,Ben Humrichous,Players/BKN/Ben Humrichous,6.0,8.0,0.43,,0.8,,0.7,3.2,1.6,0.3,0.2,0.1,0.3,,,,,,
BKN,Ben Saraf,Players/BKN/Ben Saraf,45.0,12.0,0.415,,0.82,,0.5,5.0,1.5,2.5,0.7,0.1,1.3,,,,,,
BKN,Chaney Johnson,Players/BKN/Chaney Johnson,25.0,15.0,0.51,,0.76,,0.4,6.2,3.8,1.4,0.7,0.4,0.9,-4.212877287274039,233,-2.326172339998659,192,15.459999999999999,240
BKN,Danny Wolf,Players/BKN/Danny Wolf,58.0,13.0,0.43,,0.78,,0.7,6.5,3.5,1.6,0.4,0.5,0.9,,,,,,
BKN,Day'Ron Sharpe,Players/BKN/Day'Ron Sharpe,68.0,25.0,0.595,,0.7,,0.2,11.8,8.5,2.3,1.0,0.7,1.8,0.11590863399112392,115,0.10555123466891224,115,28.849999999999998,111
BKN,Dion Brown,Players/BKN/Dion Brown,6.0,8.0,0.45,,0.72,,0.2,3.3,1.8,0.8,0.3,0.1,0.4,,,,,,
BKN,Drake Powell,Players/BKN/Drake Powell,55.0,12.0,0.43,,0.85,,0.5,4.4,1.8,1.0,0.5,0.2,0.7,,,,,,
BKN,Duke Brennan,Players/BKN/Duke Brennan,6.0,8.0,0.58,,0.6,,0.0,3.0,2.8,0.5,0.2,0.2,0.4,,,,,,
BKN,Egor Dëmin,Players/BKN/Egor Dëmin,67.0,29.0,0.42,,0.83,,2.3,13.1,3.8,4.2,1.0,0.4,2.0,-0.22652847738272303,129,-0.2047638473645426,129,27.31,129
BKN,Jalen Wilson,Players/BKN/Jalen Wilson,40.0,12.0,0.43,4.2,0.76,1.0,0.8,5.0,2.2,0.8,0.4,0.1,0.6,,,,,,
BKN,Josh Minott,Players/BKN/Josh Minott,65.0,18.0,0.49,,0.79,,1.0,8.3,4.0,1.0,1.0,0.6,0.8,-1.6453833043974895,169,-1.4649298834271651,170,19.1,201
BKN,Joshua Jefferson,Players/BKN/Joshua Jefferson,44.0,11.0,0.48,,0.72,,0.3,4.5,3.1,1.3,0.7,0.4,0.8,,,,,,
BKN,Julius Randle,Players/BKN/Julius Randle,70.0,31.0,0.472,,0.78,,1.5,19.8,8.5,4.7,0.7,0.3,2.9,0.07204989839123366,118,0.0665695262876319,118,37.9,46
BKN,Keon Ellis,Players/BKN/Keon Ellis,72.0,23.0,0.47,,0.81,,1.7,9.2,3.0,1.8,1.3,0.7,0.9,0.3451971100523473,106,0.3234643876197014,106,21.450000000000003,176
BKN,Michael Porter Jr,Players/BKN/Michael Porter Jr,65.0,32.0,0.462,,0.856,,3.2,22.8,6.8,2.8,0.9,0.3,2.1,3.9065281870696142,35,3.4780891883331773,36,38.26,42
BKN,Mikel Brown Jr,Players/BKN/Mikel Brown Jr,68.0,29.0,0.425,,0.84,,2.0,14.5,3.5,5.2,1.0,0.2,2.6,-0.952679822548569,149,-0.8675499663110698,151,28.5,118
BKN,Moritz Wagner,Players/BKN/Moritz Wagner,60.0,14.0,0.545,,0.815,,0.5,7.5,3.5,1.0,0.4,0.3,0.8,,,,,,
BKN,Noah Clowney,Players/BKN/Noah Clowney,62.0,17.0,0.415,,0.8,,1.3,8.4,3.8,1.1,0.6,0.6,1.0,-3.553071068557837,216,-3.0895328187556776,212,17.86,214
BKN,Nolan Traoré,Players/BKN/Nolan Traoré,60.0,19.0,0.405,,0.79,,0.9,8.2,1.9,3.7,0.8,0.3,1.9,-4.858058489914554,256,-4.155577999018311,250,17.88,213
BKN,Terance Mann,Players/BKN/Terance Mann,62.0,17.0,0.475,,0.79,,0.7,6.5,2.7,2.2,0.6,0.2,0.8,-4.600684581632029,245,-4.000473317147783,240,14.989999999999998,246
BKN,Tyler Bilodeau,Players/BKN/Tyler Bilodeau,20.0,13.0,0.455,,0.82,,1.0,5.9,2.5,0.7,0.4,0.2,0.6,,,,,,
BOS,Amari Williams,Players/BOS/Amari Williams,12.0,,0.54,,0.65,,0.0,1.2,1.5,0.4,0.1,0.4,0.3,,,,,,
BOS,Baylor Scheierman,Players/BOS/Baylor Scheierman,74.0,19.0,0.45,,0.89,,1.5,6.4,3.5,1.6,0.6,0.2,0.7,-3.110772023037952,201,-2.955133587978221,208,15.45,241
BOS,Chris Cenac Jr,Players/BOS/Chris Cenac Jr,25.0,1.0,0.5,,0.67,,0.0,0.4,0.3,0.0,0.0,0.1,0.1,,,,,,
BOS,Derrick White,Players/BOS/Derrick White,76.0,32.0,0.421,,0.895,,2.7,16.1,4.2,5.0,1.1,1.2,1.7,4.798587104485691,27,4.619694456095296,24,35.19,66
BOS,Dillon Mitchell,Players/BOS/Dillon Mitchell,15.0,,0.48,,0.58,,0.0,1.3,1.0,0.4,0.3,0.1,0.3,,,,,,
BOS,Hugo Gonzalez,Players/BOS/Hugo Gonzalez,76.0,21.0,0.474,,0.67,,0.8,7.1,4.8,2.0,0.9,0.4,0.8,-2.996969180470513,199,-2.885241344304408,205,19.359999999999996,198
BOS,Jayson Tatum,Players/BOS/Jayson Tatum,72.0,34.0,0.457,,0.852,,3.1,27.0,8.7,5.8,1.1,0.6,3.0,7.005622838816901,8,6.564566838664627,7,49.78999999999999,7
BOS,Jordan Walsh,Players/BOS/Jordan Walsh,48.0,5.0,0.5,,0.76,,0.2,1.5,1.1,0.2,0.2,0.1,0.2,,,,,,
BOS,Luka Garza,Players/BOS/Luka Garza,35.0,2.0,0.56,,0.76,,0.1,1.0,0.5,0.1,0.1,0.1,0.1,,,,,,
BOS,Mike Conley,Players/BOS/Mike Conley,40.0,4.0,0.38,,0.9,,0.2,1.0,0.4,0.7,0.2,0.0,0.2,,,,,,
BOS,Milos Uzan,Players/BOS/Milos Uzan,10.0,,0.41,,0.75,,0.1,1.2,0.4,0.5,0.2,0.0,0.3,,,,,,
BOS,Mitchell Robinson,Players/BOS/Mitchell Robinson,58.0,17.0,0.71,,0.42,,0.0,5.0,7.6,0.6,0.8,1.0,0.6,-2.1050244378170584,181,-1.770370697232532,179,19.82,191
BOS,Neemias Queta,Players/BOS/Neemias Queta,72.0,23.0,0.65,,0.71,,0.0,9.1,7.5,1.4,0.7,1.2,0.9,0.32927584987768743,107,0.3085454890467981,107,25.000000000000007,154
BOS,Paul George,Players/BOS/Paul George,55.0,27.0,0.445,,0.87,,2.3,16.5,4.8,3.5,1.4,0.5,2.1,2.907822632267089,48,2.381454734082947,54,32.25999999999999,82
BOS,Payton Pritchard,Players/BOS/Payton Pritchard,78.0,30.0,0.468,,0.889,,3.0,19.8,4.2,5.9,0.8,0.1,1.8,3.8524260819084053,36,3.7572897664314735,32,36.089999999999996,60
BOS,Ron Harper Jr,Players/BOS/Ron Harper Jr,55.0,8.0,0.425,,0.77,,0.7,2.8,1.2,0.6,0.2,0.2,0.2,,,,,,
BOS,Sam Hauser,Players/BOS/Sam Hauser,70.0,17.0,0.43,,0.87,,1.8,6.5,2.7,0.9,0.4,0.2,0.4,-3.9976288692156503,225,-3.6935549673145185,228,13.389999999999999,257
BOS,Tucker DeVries,Players/BOS/Tucker DeVries,8.0,,0.4,,0.8,,0.3,1.4,0.5,0.3,0.1,0.1,0.2,,,,,,
CHA,Brandon Miller,Players/CHA/Brandon Miller,62.0,32.5,0.445,,0.89,,3.5,23.4,5.3,4.1,1.0,0.7,2.8,5.02954393228777,25,4.373383121909712,26,39.96,31
CHA,Christian Anderson Jr,Players/CHA/Christian Anderson Jr,60.0,12.0,0.41,,0.845,,1.1,6.2,1.4,2.4,0.6,0.1,1.0,,,,,,
CHA,Coby White,Players/CHA/Coby White,68.0,31.5,0.445,,0.84,,3.0,21.4,4.0,5.5,0.8,0.2,2.7,1.452419497703623,87,1.3226337500583312,88,36.25,58
CHA,Dorian Finney-Smith,Players/CHA/Dorian Finney-Smith,50.0,17.0,0.39,,0.75,,1.0,4.7,2.9,1.2,0.5,0.2,0.7,-5.869550979432355,261,-4.583349285274515,257,11.88,262
CHA,Grant Williams,Players/CHA/Grant Williams,50.0,12.0,0.43,,0.805,,0.9,5.0,2.8,1.1,0.4,0.3,0.6,,,,,,
CHA,Grayson Allen,Players/CHA/Grayson Allen,58.0,22.0,0.415,,0.855,,2.3,12.3,2.7,2.8,0.9,0.2,1.3,-1.184957689764376,156,-0.9965748300740267,155,22.89,168
CHA,Hannes Steinbach,Players/CHA/Hannes Steinbach,70.0,18.0,0.52,,0.755,,0.5,8.8,6.2,1.3,0.6,0.6,1.3,-2.952740658650134,198,-2.72814467869514,201,20.740000000000002,179
CHA,Kon Knueppel,Players/CHA/Kon Knueppel,78.0,33.5,0.468,,0.868,,3.8,21.5,5.6,4.5,0.8,0.2,2.4,4.118020680982656,33,4.016325461835863,28,37.47,48
CHA,Kylan Boswell,Players/CHA/Kylan Boswell,12.0,4.5,0.39,,0.81,,0.3,1.7,0.6,0.8,0.3,0.0,0.4,,,,,,
CHA,Liam McNeeley,Players/CHA/Liam McNeeley,44.0,8.0,0.405,,0.82,,0.7,3.6,1.9,0.5,0.2,0.1,0.3,,,,,,
CHA,Michael Ajayi,Players/CHA/Michael Ajayi,12.0,5.0,0.45,,0.76,,0.2,2.3,1.8,0.3,0.1,0.1,0.3,,,,,,
CHA,Mouhamadou Gueye,Players/CHA/Mouhamadou Gueye,16.0,6.0,0.47,,0.7,,0.2,2.5,1.7,0.5,0.3,0.2,0.4,,,,,,
CHA,Moussa Diabaté,Players/CHA/Moussa Diabaté,72.0,24.5,0.63,,0.665,,0.0,8.2,8.5,1.8,0.8,1.0,1.0,-0.11960442820188544,127,-0.11207444094494481,128,25.5,146
CHA,Naz Reid,Players/CHA/Naz Reid,73.0,31.0,0.466,,0.755,,2.5,17.2,7.5,2.7,0.9,0.9,1.8,2.174026274017461,67,2.05125329781882,66,35.10000000000001,68
CHA,Pat Connaughton,Players/CHA/Pat Connaughton,24.0,5.0,0.42,,0.7,,0.4,2.0,1.1,0.3,0.2,0.0,0.2,,,,,,
CHA,PJ Hall,Players/CHA/PJ Hall,18.0,6.0,0.53,,0.76,,0.2,3.0,2.6,0.4,0.2,0.3,0.4,,,,,,
CHA,Royce O'Neale,Players/CHA/Royce O'Neale,70.0,18.0,0.418,,0.73,,1.6,6.5,3.6,1.8,0.7,0.3,0.8,-3.6702866311517948,219,-3.3911115467351025,221,16.52,225
CHA,Ryan Kalkbrenner,Players/CHA/Ryan Kalkbrenner,66.0,16.0,0.74,,0.72,,0.0,6.0,4.4,0.6,0.4,1.2,0.7,-2.3943674457750883,187,-2.148106655603602,186,16.280000000000005,228
CHA,Sion James,Players/CHA/Sion James,76.0,15.0,0.4,,0.82,,0.7,5.1,2.6,1.8,0.6,0.2,0.7,-5.280025245790839,258,-5.083184450944226,262,12.969999999999999,258
CHA,Tidjane Salaün,Players/CHA/Tidjane Salaün,48.0,10.0,0.445,,0.69,,0.8,4.8,3.1,0.6,0.3,0.2,0.6,,,,,,
CHA,Tre Mann,Players/CHA/Tre Mann,35.0,8.0,0.4,,0.85,,0.6,4.0,1.1,1.1,0.3,0.1,0.7,,,,,,
CHI,Caleb Wilson,Players/CHI/Caleb Wilson,70.0,29.0,0.48,,0.715,,0.8,14.4,7.8,2.2,1.0,1.1,2.3,-0.4561653186446558,137,-0.42146775844330864,137,31.459999999999997,90
CHI,Dailyn Swain,Players/CHI/Dailyn Swain,64.0,17.0,0.44,,0.79,,0.6,7.8,3.7,1.9,0.8,0.2,1.4,-4.64331975634251,247,-4.102151093971105,248,16.990000000000006,221
CHI,Isaac Okoro,Players/CHI/Isaac Okoro,55.0,8.0,0.45,,0.79,,0.4,3.4,1.0,0.6,0.3,0.2,0.2,,,,,,
CHI,Jalen Smith,Players/CHI/Jalen Smith,60.0,12.0,0.485,,0.745,,0.9,6.2,4.0,0.7,0.3,0.6,0.6,,,,,,
CHI,Jaylin Sellers,Players/CHI/Jaylin Sellers,,,0.435,,0.83,,0.8,4.0,1.0,0.4,0.2,0.1,0.4,,,,,,
CHI,Josh Giddey,Players/CHI/Josh Giddey,72.0,32.0,0.455,,0.77,,2.0,17.8,8.2,8.8,1.1,0.5,3.5,2.721373973396816,52,2.5500432655867447,49,43.14,17
CHI,Leonard Miller,Players/CHI/Leonard Miller,50.0,10.0,0.515,,0.755,,0.5,5.5,2.9,0.6,0.3,0.3,0.5,,,,,,
CHI,Matas Buzelis,Players/CHI/Matas Buzelis,75.0,32.0,0.465,,0.795,,2.4,18.2,6.3,2.4,0.8,1.4,2.3,2.362229701107482,64,2.2591539724990506,61,34.86,69
CHI,Nic Claxton,Players/CHI/Nic Claxton,68.0,28.0,0.59,,0.625,,0.0,11.8,7.8,3.0,0.8,1.4,1.5,0.29459960271050467,109,0.2682746809132961,108,30.760000000000005,96
CHI,Noa Essengue,Players/CHI/Noa Essengue,55.0,13.0,0.45,,0.73,,0.5,5.8,3.0,0.7,0.6,0.5,0.8,,,,,,
CHI,Norman Powell,Players/CHI/Norman Powell,66.0,30.0,0.458,,0.83,,2.7,18.8,3.3,2.4,1.0,0.2,1.8,0.6378556701562117,101,0.5722521882740969,101,29.51,107
CHI,Patrick Williams,Players/CHI/Patrick Williams,,,0.405,,0.735,,0.8,4.4,1.9,0.8,0.4,0.2,0.6,,,,,,
CHI,Rob Dillingham,Players/CHI/Rob Dillingham,44.0,5.0,0.415,,0.76,,0.3,2.5,0.8,0.8,0.2,0.0,0.5,,,,,,
CHI,Tobe Awaka,Players/CHI/Tobe Awaka,,,0.56,,0.64,,0.0,3.2,3.6,0.3,0.2,0.2,0.4,,,,,,
CHI,Tre Jones,Players/CHI/Tre Jones,70.0,24.0,0.515,,0.835,,0.5,11.6,2.8,4.9,1.1,0.1,1.2,-0.5192861902488356,139,-0.47978743155007786,139,24.96,155
CHI,Zach Collins,Players/CHI/Zach Collins,,,0.52,,0.71,,0.5,6.2,3.8,1.0,0.2,0.3,0.7,,,,,,
CLE,Craig Porter Jr,Players/CLE/Craig Porter Jr,42.0,10.0,0.465,,0.67,,0.3,3.3,1.9,1.9,0.5,0.3,0.7,,,,,,
CLE,Dennis Schröder,Players/CLE/Dennis Schröder,65.0,12.0,0.405,,0.835,,0.5,5.2,1.3,2.2,0.4,0.1,0.9,,,,,,
CLE,Donovan Mitchell,Players/CLE/Donovan Mitchell,70.0,33.0,0.47,,0.86,,3.2,26.8,4.4,5.3,1.3,0.3,2.7,5.9758830788769535,15,5.521336110024492,13,43.73,14
CLE,Ernest Udeh Jr,Players/CLE/Ernest Udeh Jr,18.0,6.0,0.6,,0.55,,0.0,1.8,1.8,0.2,0.1,0.4,0.3,,,,,,
CLE,Evan Mobley,Players/CLE/Evan Mobley,68.0,34.0,0.548,,0.68,,1.0,19.1,9.5,3.8,0.8,1.8,2.0,4.029965583662342,34,3.6698546810702446,34,42.5,20
CLE,James Harden,Players/CLE/James Harden,64.0,31.0,0.43,,0.875,,2.6,20.8,4.5,7.3,1.0,0.4,3.2,2.8122664970195856,50,2.4845030479602856,53,39.449999999999996,36
CLE,Jarrett Allen,Players/CLE/Jarrett Allen,67.0,29.0,0.655,,0.7,,0.0,14.3,9.3,1.8,0.9,1.0,1.3,2.5681927841506074,61,2.3214433846569533,59,32.56,81
CLE,Jaylon Tyson,Players/CLE/Jaylon Tyson,72.0,27.0,0.465,,0.75,,1.8,11.8,5.0,2.3,0.8,0.4,1.4,-1.6271668612481207,168,-1.524724619649567,173,24.349999999999998,157
CLE,Max Strus,Players/CLE/Max Strus,65.0,26.0,0.434,,0.81,,2.5,10.5,4.6,2.5,0.5,0.2,1.0,-1.7559195314615441,175,-1.5633433180321306,174,22.12,172
CLE,Meleek Thomas,Players/CLE/Meleek Thomas,48.0,5.0,0.405,,0.83,,0.6,2.5,0.7,0.4,0.2,0.1,0.3,,,,,,
CLE,Nae'Qwan Tomlin,Players/CLE/Nae'Qwan Tomlin,64.0,15.0,0.495,,0.75,,0.4,5.7,3.2,0.8,0.6,0.6,0.6,-4.530049883235094,243,-4.002082574406654,241,13.94,254
CLE,Olivier Sarr,Players/CLE/Olivier Sarr,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
CLE,Riley Minix,Players/CLE/Riley Minix,15.0,7.0,0.45,,0.78,,0.5,2.5,1.2,0.4,0.2,0.1,0.2,,,,,,
CLE,Sam Merrill,Players/CLE/Sam Merrill,66.0,20.0,0.43,,0.87,,2.3,9.4,2.1,1.8,0.6,0.1,0.7,-2.5829901516667504,190,-2.3173295084446695,191,17.17,220
CLE,Thomas Bryant,Players/CLE/Thomas Bryant,55.0,8.0,0.515,,0.76,,0.4,4.0,2.2,0.5,0.2,0.3,0.5,,,,,,
CLE,Tristan Enaruna,Players/CLE/Tristan Enaruna,16.0,7.0,0.44,,0.75,,0.3,2.2,1.1,0.3,0.3,0.1,0.3,,,,,,
CLE,Tyrese Proctor,Players/CLE/Tyrese Proctor,32.0,8.0,0.41,,0.85,,0.7,3.2,1.0,1.0,0.3,0.1,0.5,,,,,,
DAL,Brandon Williams,Players/DAL/Brandon Williams,12.0,5.0,0.43,2.5,0.78,0.5,0.2,3.5,0.7,1.2,0.2,0.0,0.5,,,,,,
DAL,Caleb Martin,Players/DAL/Caleb Martin,38.0,8.0,0.44,2.7,0.7,0.7,0.3,3.1,2.0,0.8,0.5,0.2,0.5,,,,,,
DAL,Cooper Flagg,Players/DAL/Cooper Flagg,72.0,36.0,0.485,19.2,0.83,5.7,1.6,24.8,7.3,5.2,1.3,1.0,2.6,6.640994159767914,9,6.222894243667306,9,46.459999999999994,9
DAL,Daniel Gafford,Players/DAL/Daniel Gafford,68.0,24.0,0.66,6.4,0.69,2.7,0.0,10.5,7.2,1.2,0.8,1.5,1.2,1.5799388141949784,85,1.4387581562939276,84,26.640000000000004,136
DAL,Dereck Lively II,Players/DAL/Dereck Lively II,38.0,20.0,0.65,5.0,0.7,1.8,0.0,8.0,6.8,1.8,0.6,1.5,1.2,0.30288231095213747,108,0.20618581434174077,112,23.96,162
DAL,Dwight Powell,Players/DAL/Dwight Powell,20.0,6.0,0.62,1.5,0.68,0.6,0.0,2.2,2.7,0.8,0.3,0.2,0.5,,,,,,
DAL,John Poulakidas,Players/DAL/John Poulakidas,12.0,5.0,0.41,2.4,0.85,0.2,0.8,3.2,0.8,0.4,0.2,0.1,0.3,,,,,,
DAL,Klay Thompson,Players/DAL/Klay Thompson,58.0,18.0,0.4,9.2,0.8,0.7,2.7,10.6,2.2,1.4,0.5,0.3,0.9,-4.21725401941147,234,-3.5468010749056393,224,18.19,211
DAL,Kyrie Irving,Players/DAL/Kyrie Irving,60.0,31.0,0.485,16.5,0.9,4.0,2.7,21.5,4.0,5.0,1.0,0.3,2.3,4.497066401292945,29,3.8467857552835074,29,36.75,54
DAL,Marcus Sasser,Players/DAL/Marcus Sasser,52.0,12.0,0.42,5.1,0.83,0.8,1.3,6.4,1.2,2.3,0.5,0.1,0.9,,,,,,
DAL,Max Christie,Players/DAL/Max Christie,74.0,29.0,0.45,9.7,0.88,1.8,2.3,12.9,3.4,2.1,0.7,0.4,1.2,-0.9924802029791598,152,-0.9428243411945381,154,23.380000000000003,165
DAL,Morez Johnson Jr,Players/DAL/Morez Johnson Jr,70.0,17.0,0.57,6.2,0.73,2.0,0.3,8.2,6.2,1.3,0.7,1.1,1.2,-0.9142434593580492,148,-0.8447028428902842,149,21.939999999999998,173
DAL,Moussa Cisse,Players/DAL/Moussa Cisse,8.0,4.0,0.58,1.3,0.52,0.5,0.0,1.8,2.4,0.2,0.2,0.5,0.3,,,,,,
DAL,Naji Marshall,Players/DAL/Naji Marshall,70.0,27.0,0.5,10.4,0.76,3.2,0.9,13.4,4.5,3.1,1.0,0.1,1.5,-1.4364629011657952,163,-1.3272004124297152,165,25.700000000000003,145
DAL,PJ Washington,Players/DAL/PJ Washington,66.0,28.0,0.445,10.8,0.72,2.6,1.6,13.2,6.5,1.8,0.9,1.0,1.5,-0.7376216943788351,145,-0.6617572728064974,144,28.7,114
DAL,Ryan Nembhard,Players/DAL/Ryan Nembhard,50.0,10.0,0.425,3.8,0.78,0.6,0.7,4.2,1.4,3.4,0.4,0.1,1.0,,,,,,
DAL,Santi Aldama,Players/DAL/Santi Aldama,62.0,24.0,0.475,9.9,0.7,2.3,1.5,12.7,6.4,2.6,0.8,0.6,1.3,-0.8353492824953722,147,-0.7263685340358256,146,27.93,127
DAL,Sergio De Larrea,Players/DAL/Sergio De Larrea,44.0,9.0,0.44,3.1,0.8,0.6,0.5,3.2,1.3,1.8,0.4,0.1,0.8,,,,,,
DAL,Tarik Biberovic,Players/DAL/Tarik Biberovic,60.0,18.0,0.44,7.1,0.85,1.0,2.0,8.4,2.8,1.2,0.5,0.1,0.8,-4.163081926082961,229,-3.5610957949675504,226,15.559999999999999,238
DAL,Tobi Lawal,Players/DAL/Tobi Lawal,9.0,2.0,0.5,0.5,0.7,0.1,0.0,0.7,0.8,0.1,0.1,0.1,0.1,,,,,,
DAL,Tyler Smith,Players/DAL/Tyler Smith,12.0,3.0,0.42,1.1,0.7,0.2,0.3,1.8,1.1,0.2,0.2,0.1,0.2,,,,,,
DAL,Vsevolod Ishchenko,Players/DAL/Vsevolod Ishchenko,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
DEN,Aaron Gordon,Players/DEN/Aaron Gordon,55.0,30.0,0.505,10.3,0.76,4.1,1.5,15.0,5.7,2.7,0.7,0.4,1.2,-0.06798884931037175,125,-0.055681651713674736,125,28.740000000000002,113
DEN,Alpha Diallo,Players/DEN/Alpha Diallo,36.0,5.0,0.455,1.5,0.76,0.4,0.2,1.8,0.9,0.3,0.3,0.1,0.3,,,,,,
DEN,Bryce Hopkins,Players/DEN/Bryce Hopkins,20.0,6.0,0.44,2.2,0.72,0.8,0.3,2.8,1.6,0.4,0.2,0.1,0.4,,,,,,
DEN,Cameron Johnson,Players/DEN/Cameron Johnson,58.0,31.0,0.475,9.4,0.84,2.2,2.2,13.0,4.0,2.4,0.7,0.4,0.9,0.09922283668864762,116,0.08344853361989184,117,24.900000000000002,156
DEN,Christian Braun,Players/DEN/Christian Braun,63.0,32.0,0.515,9.2,0.79,2.4,1.1,12.5,4.8,2.8,0.8,0.3,1.0,-0.2746713601236713,130,-0.24075578235711803,130,25.31,147
DEN,DaRon Holmes II,Players/DEN/DaRon Holmes II,32.0,5.0,0.505,1.4,0.76,0.5,0.4,2.2,1.1,0.4,0.1,0.3,0.3,,,,,,
DEN,Jamal Murray,Players/DEN/Jamal Murray,66.0,35.0,0.475,17.6,0.88,5.0,3.2,24.5,4.3,6.9,0.9,0.4,2.4,6.112037146366823,14,5.48341387474757,15,43.110000000000014,18
DEN,Julian Strawther,Players/DEN/Julian Strawther,62.0,15.0,0.455,5.4,0.82,1.2,1.1,7.0,2.0,1.1,0.4,0.1,0.6,-5.64143915091655,259,-4.905449698433503,261,12.500000000000002,260
DEN,KJ Simpson,Players/DEN/KJ Simpson,25.0,8.0,0.39,2.5,0.68,0.8,0.5,3.0,1.0,1.4,0.5,0.0,0.8,,,,,,
DEN,Marvin Bagley III,Players/DEN/Marvin Bagley III,59.0,14.0,0.58,5.2,0.67,1.8,0.2,7.4,4.4,0.9,0.4,0.6,0.7,,,,,,
DEN,Nikola Jokić,Players/DEN/Nikola Jokić,66.0,35.0,0.57,17.1,0.83,7.1,1.6,27.0,12.5,10.4,1.4,0.8,3.6,14.484701269290992,1,12.994949148634825,1,61.4,1
DEN,Peyton Watson,Players/DEN/Peyton Watson,62.0,26.0,0.485,9.4,0.74,3.0,1.2,12.5,4.3,1.9,0.9,1.0,1.5,-0.9696249534652277,150,-0.8431264271984275,148,25.31,148
DEN,Spencer Jones,Players/DEN/Spencer Jones,55.0,12.0,0.495,2.5,0.65,0.6,0.5,3.4,1.9,0.5,0.4,0.3,0.4,,,,,,
