player,team,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Kylan Boswell,CHA,12.0,4.5,0.39,,0.81,,0.3,1.7,0.6,0.8,0.3,0.0,0.4
Liam McNeeley,CHA,44.0,8.0,0.405,,0.82,,0.7,3.6,1.9,0.5,0.2,0.1,0.3
Michael Ajayi,CHA,12.0,5.0,0.45,,0.76,,0.2,2.3,1.8,0.3,0.1,0.1,0.3
Mouhamadou Gueye,CHA,16.0,6.0,0.47,,0.7,,0.2,2.5,1.7,0.5,0.3,0.2,0.4
Moussa Diabaté,CHA,72.0,24.5,0.63,,0.665,,0.0,8.2,8.5,1.8,0.8,1.0,1.0
Naz Reid,CHA,73.0,31.0,0.466,,0.755,,2.5,17.2,7.5,2.7,0.9,0.9,1.8
PJ Hall,CHA,18.0,6.0,0.53,,0.76,,0.2,3.0,2.6,0.4,0.2,0.3,0.4
Pat Connaughton,CHA,24.0,5.0,0.42,,0.7,,0.4,2.0,1.1,0.3,0.2,0.0,0.2
Royce O'Neale,CHA,70.0,18.0,0.418,,0.73,,1.6,6.5,3.6,1.8,0.7,0.3,0.8
Ryan Kalkbrenner,CHA,66.0,16.0,0.74,,0.72,,0.0,6.0,4.4,0.6,0.4,1.2,0.7
Sion James,CHA,76.0,15.0,0.4,,0.82,,0.7,5.1,2.6,1.8,0.6,0.2,0.7
Tidjane Salaün,CHA,48.0,10.0,0.445,,0.69,,0.8,4.8,3.1,0.6,0.3,0.2,0.6
Tre Mann,CHA,35.0,8.0,0.4,,0.85,,0.6,4.0,1.1,1.1,0.3,0.1,0.7
Isaac Okoro,CHI,67.0,32.4,0.42,,0.726,,0.9,9.6,3.1,1.9,0.9,0.4,1.3
Jalen Smith,CHI,27.0,5.8,0.44,,0.714,,0.1,2.0,1.4,0.1,0.0,0.1,0.3
Josh Giddey,CHI,54.0,31.5,0.419,,0.709,,1.0,12.5,7.8,6.4,0.9,0.4,3.2
Leonard Miller,CHI,17.0,3.1,0.65,,0.5,,0.1,1.7,1.2,0.5,0.1,0.1,0.1
Matas Buzelis,CHI,80.0,18.9,0.454,,0.815,,1.2,8.6,3.5,1.0,0.4,0.9,0.9
Nic Claxton,CHI,15.0,12.5,0.563,,0.524,,0.1,4.4,2.9,1.1,0.1,0.5,0.6
Noa Essengue,CHI,2.0,3.0,,,,,0.0,0.0,0.0,0.0,,,
Norman Powell,CHI,49.0,14.8,0.424,,0.811,,0.7,5.6,2.3,1.0,0.6,0.2,0.7
Patrick Williams,CHI,71.0,27.9,0.483,,0.728,,0.8,9.2,4.6,1.4,0.9,0.6,1.4
Rob Dillingham,CHI,49.0,10.5,0.441,,0.533,,0.5,4.5,1.0,2.0,0.4,0.0,1.1
Tre Jones,CHI,37.0,7.3,0.474,,0.895,,0.1,2.5,0.6,1.1,0.2,0.0,0.4
Zach Collins,CHI,66.0,15.8,0.398,,0.643,,0.5,4.4,3.3,0.8,0.3,0.5,0.9
Craig Porter Jr,CLE,58.0,11.0,0.465,,0.67,,0.3,3.6,2.1,2.0,0.5,0.3,0.7
Dennis Schröder,CLE,65.0,12.0,0.405,,0.835,,0.5,5.2,1.3,2.2,0.4,0.1,0.9
Donovan Mitchell,CLE,70.0,33.0,0.47,,0.86,,3.2,26.8,4.4,5.3,1.3,0.3,2.7
Ernest Udeh Jr,CLE,18.0,6.0,0.6,,0.55,,0.0,1.8,1.8,0.2,0.1,0.4,0.3
Evan Mobley,CLE,68.0,34.0,0.548,,0.68,,1.0,19.1,9.5,3.8,0.8,1.8,2.0
James Harden,CLE,64.0,31.0,0.43,,0.875,,2.6,20.8,4.5,7.3,1.0,0.4,3.2
Jarrett Allen,CLE,67.0,29.0,0.655,,0.7,,0.0,14.3,9.3,1.8,0.9,1.0,1.3
Jaylon Tyson,CLE,72.0,27.0,0.465,,0.75,,1.8,11.8,5.0,2.3,0.8,0.4,1.4
Max Strus,CLE,65.0,26.0,0.434,,0.81,,2.5,10.5,4.6,2.5,0.5,0.2,1.0
Meleek Thomas,CLE,48.0,5.0,0.405,,0.83,,0.6,2.5,0.7,0.4,0.2,0.1,0.3
Nae'Qwan Tomlin,CLE,64.0,15.0,0.495,,0.75,,0.4,5.7,3.2,0.8,0.6,0.6,0.6
Olivier Sarr,CLE,22.0,19.1,0.574,,0.828,,0.6,7.0,4.2,0.9,0.3,0.7,1.0
Riley Minix,CLE,15.0,7.0,0.45,,0.78,,0.5,2.5,1.2,0.4,0.2,0.1,0.2
Sam Merrill,CLE,66.0,20.0,0.43,,0.87,,2.3,9.4,2.1,1.8,0.6,0.1,0.7
Thomas Bryant,CLE,55.0,8.0,0.515,,0.76,,0.4,4.0,2.2,0.5,0.2,0.3,0.5
Tristan Enaruna,CLE,16.0,7.0,0.44,,0.75,,0.3,2.2,1.1,0.3,0.3,0.1,0.3
Tyrese Proctor,CLE,32.0,8.0,0.41,,0.85,,0.7,3.2,1.0,1.0,0.3,0.1,0.5
Brandon Williams,DAL,24.0,26.7,0.372,,0.701,,1.3,12.9,3.1,3.9,1.0,0.4,2.4
Caleb Martin,DAL,38.0,8.0,,,,,0.3,3.1,2.0,0.8,0.5,0.2,0.5
Cooper Flagg,DAL,72.0,36.0,,,,,1.6,24.8,7.3,5.2,1.3,1.0,2.6
Daniel Gafford,DAL,68.0,24.0,,,,,0.0,10.5,7.2,1.2,0.8,1.5,1.2
Dereck Lively II,DAL,38.0,20.0,,,,,0.0,8.0,6.8,1.8,0.6,1.5,1.2
Dwight Powell,DAL,29.0,8.1,0.463,,0.758,,0.1,3.1,1.7,0.3,0.3,0.2,0.4
John Poulakidas,DAL,12.0,5.0,,,,,0.8,3.2,0.8,0.4,0.2,0.1,0.3
Klay Thompson,DAL,38.0,15.0,,,,,2.2,8.9,1.8,1.2,0.4,0.2,0.8
Kyrie Irving,DAL,55.0,31.0,,,,,2.7,21.5,4.0,5.0,1.0,0.3,2.3
Marcus Sasser,DAL,56.0,14.0,,,,,1.5,7.4,1.4,2.6,0.6,0.1,1.0
Max Christie,DAL,74.0,29.0,,,,,2.3,12.9,3.4,2.1,0.7,0.4,1.2
Morez Johnson Jr,DAL,70.0,17.0,,,,,0.3,8.2,6.2,1.3,0.7,1.1,1.2
Moussa Cisse,DAL,8.0,4.0,,,,,0.0,1.8,2.4,0.2,0.2,0.5,0.3
Naji Marshall,DAL,70.0,27.0,,,,,0.9,13.4,4.5,3.1,1.0,0.1,1.5
PJ Washington,DAL,66.0,28.0,,,,,1.6,13.2,6.5,1.8,0.9,1.0,1.5
Santi Aldama,DAL,62.0,24.0,,,,,1.5,12.7,6.4,2.6,0.8,0.6,1.3
Sergio De Larrea,DAL,46.0,10.0,,,,,0.6,3.6,1.4,2.0,0.4,0.1,0.9
Tarik Biberovic,DAL,60.0,18.0,,,,,2.0,8.4,2.8,1.2,0.5,0.1,0.8
Tobi Lawal,DAL,9.0,2.0,,,,,0.0,0.7,0.8,0.1,0.1,0.1,0.1
Tyler Smith,DAL,12.0,3.0,,,,,0.3,1.8,1.1,0.2,0.2,0.1,0.2
Vsevolod Ishchenko,DAL,0.0,0.0,,,,,,,,,,,
Zaccharie Risacher,DAL,75.0,24.6,0.458,,0.711,,1.6,12.6,3.6,1.2,0.7,0.5,1.2
Aaron Gordon,DEN,55.0,30.0,,,,,1.5,15.0,5.7,2.7,0.7,0.4,1.2
Alpha Diallo,DEN,30.0,3.0,,,,,0.1,1.1,0.5,0.2,0.2,0.1,0.2
Bryce Hopkins,DEN,20.0,6.0,,,,,0.3,2.8,1.6,0.4,0.2,0.1,0.4
Cameron Johnson,DEN,58.0,29.0,,,,,2.1,12.2,3.7,2.2,0.7,0.4,0.8
Christian Braun,DEN,63.0,30.0,,,,,1.0,11.7,4.5,2.6,0.8,0.3,0.9
DaRon Holmes II,DEN,26.0,3.0,,,,,0.2,1.3,0.7,0.2,0.1,0.2,0.2
Jamal Murray,DEN,66.0,35.0,,,,,3.2,24.5,4.3,6.9,0.9,0.4,2.4
Julian Strawther,DEN,62.0,12.0,,,,,0.9,5.6,1.6,0.9,0.3,0.1,0.5
KJ Simpson,DEN,25.0,8.0,,,,,0.5,3.0,1.0,1.4,0.5,0.0,0.8
Marvin Bagley III,DEN,59.0,14.0,,,,,0.4,7.6,4.4,0.9,0.4,0.6,0.7
Nikola Jokić,DEN,66.0,35.0,,,,,1.6,27.0,12.5,10.4,1.4,0.8,3.6
Peyton Watson,DEN,62.0,26.0,,,,,1.2,12.5,4.3,1.9,0.9,1.0,1.5
Spencer Jones,DEN,55.0,12.0,,,,,0.5,3.4,1.9,0.5,0.4,0.3,0.4
Trevon Brazile,DEN,50.0,7.0,,,,,0.3,3.1,1.8,0.4,0.2,0.3,0.4
Tyus Jones,DEN,64.0,17.0,,,,,0.8,4.7,1.3,3.2,0.7,0.1,0.5
Zeke Nnaji,DEN,48.0,5.0,,,,,0.1,1.8,1.1,0.3,0.1,0.2,0.2
Ausar Thompson,DET,71.0,29.0,0.53,,0.61,,0.2,11.2,6.5,3.4,2.0,1.0,1.6
Cade Cunningham,DET,66.0,34.0,0.462,,0.825,,2.1,24.5,5.8,9.8,1.4,0.8,3.7
Chaz Lanier,DET,35.0,7.0,0.385,,0.82,,0.7,2.7,0.7,0.4,0.2,0.1,0.2
Daniss Jenkins,DET,69.0,16.0,0.41,,0.825,,0.9,7.1,1.9,3.0,0.7,0.2,1.2
Duncan Robinson,DET,70.0,21.0,0.45,,0.82,,2.3,9.8,2.1,1.7,0.5,0.2,0.6
Ebuka Okorie,DET,58.0,13.0,0.425,,0.825,,0.8,6.8,1.8,2.2,0.7,0.1,1.2
Elijah Harkless,DET,20.0,6.0,0.41,,0.7,,0.3,2.1,1.0,0.4,0.3,0.1,0.3
Gary Harris,DET,45.0,8.0,0.44,,0.85,,0.4,2.0,1.0,0.7,0.4,0.1,0.3
Isaac Jones,DET,18.0,6.0,0.58,,0.7,,0.0,2.4,1.7,0.4,0.2,0.3,0.3
Isaiah Joe,DET,72.0,23.0,0.45,,0.88,,2.7,11.7,2.7,1.4,0.7,0.2,0.7
Jalen Duren,DET,68.0,29.5,0.66,,0.755,,0.0,18.8,10.8,2.1,0.8,0.9,1.9
Javonte Green,DET,55.0,9.0,0.47,,0.78,,0.4,3.2,1.5,0.4,0.6,0.2,0.3
John Collins,DET,67.0,28.0,0.555,,0.79,,1.2,14.8,6.8,1.5,0.7,1.0,1.4
Kevin Huerter,DET,67.0,18.5,0.445,,0.8,,1.5,7.8,2.5,2.1,0.8,0.2,0.8
Paul Reed,DET,65.0,15.0,0.6,,0.68,,0.2,7.0,4.8,1.1,0.8,0.9,0.8
Ron Holland II,DET,75.0,18.0,0.44,,0.77,,0.7,8.0,3.8,1.2,1.0,0.3,1.1
Taurean Prince,DET,50.0,12.0,0.445,,0.8,,1.0,4.6,1.9,0.8,0.3,0.1,0.5
Tolu Smith,DET,30.0,7.0,0.57,,0.68,,0.0,3.0,2.5,0.5,0.1,0.3,0.4
Ugonna Onyenso,DET,12.0,5.0,0.56,,0.6,,0.0,1.5,1.8,0.2,0.1,0.7,0.3
Wendell Moore Jr,DET,29.0,5.3,0.419,,0.8,,0.1,1.4,0.6,0.6,0.3,0.2,0.3
LeBron James,FA,0.0,0.0,,,,,,,,,,,
Al Horford,GSW,50.0,18.0,0.44,,0.82,,1.2,6.7,4.4,2.0,0.6,0.8,0.8
Brandin Podziemski,GSW,76.0,32.0,0.452,,0.802,,2.3,16.1,5.8,4.5,1.1,0.2,1.9
Charles Bassey,GSW,43.0,9.0,0.62,,0.7,,0.0,4.4,3.8,0.6,0.3,0.7,0.6
De'Anthony Melton,GSW,62.0,24.0,0.418,,0.82,,1.7,11.3,3.3,2.7,1.4,0.4,1.6
Draymond Green,GSW,62.0,27.0,0.43,,0.71,,1.2,7.9,5.5,5.7,1.0,0.7,2.6
Gary Payton II,GSW,64.0,13.0,0.58,,0.67,,0.3,5.8,2.8,1.2,0.8,0.2,0.6
Graham Ike,GSW,12.0,21.3,0.602,,0.683,,,11.2,5.4,0.8,0.5,0.3,
Gui Santos,GSW,72.0,27.0,0.48,,0.755,,1.6,13.2,5.1,2.8,0.9,0.3,1.8
Jimmy Butler III,GSW,30.0,27.5,0.48,,0.835,,0.5,16.4,4.8,4.0,1.2,0.2,1.8
Kristaps Porziņģis,GSW,48.0,25.5,0.452,,0.85,,2.1,18.0,6.2,2.3,0.6,1.5,1.4
LJ Cryer,GSW,24.0,8.0,0.41,,0.88,,1.0,4.3,0.8,0.8,0.2,0.0,0.5
Lajae Jones,GSW,35.0,8.0,0.425,,0.73,,0.4,3.4,1.9,0.7,0.5,0.2,0.5
Malevy Leons,GSW,22.0,7.0,0.44,,0.78,,0.3,2.3,1.5,0.5,0.4,0.3,0.4
Moses Moody,GSW,10.0,18.0,0.43,,0.78,,1.4,7.8,2.1,1.0,0.6,0.2,0.7
Nate Williams,GSW,5.0,25.4,0.615,,0.667,,0.6,10.6,3.0,2.0,0.6,0.4,0.8
Nick Boyd,GSW,23.0,15.0,0.423,,0.769,,0.7,5.1,2.0,1.8,0.4,,0.8
Seth Curry,GSW,2.0,6.5,0.333,,0.0,,0.5,1.5,0.5,0.0,0.0,0.0,1.5
Stephen Curry,GSW,58.0,30.5,0.462,,0.92,,4.1,25.2,3.7,5.2,1.0,0.3,2.8
Will Richard,GSW,67.0,13.0,0.45,,0.82,,0.8,5.1,1.8,0.9,0.7,0.1,0.6
Yaxel Lendeborg,GSW,73.0,25.5,0.468,,0.78,,1.2,10.8,6.2,2.3,1.2,0.8,1.6
Aaron Holiday,HOU,0.0,0.0,,,,,,,,,,,
Alperen Şengün,HOU,70.0,32.0,0.52,,0.705,,0.5,20.5,8.6,5.8,1.1,1.0,3.0
Amen Thompson,HOU,76.0,33.0,0.545,,0.765,,0.3,18.0,7.6,4.9,1.4,0.6,2.3
Bogdan Bogdanović,HOU,55.0,7.0,0.41,,0.825,,0.6,2.9,1.0,0.8,0.2,0.1,0.4
Bruce Thornton,HOU,42.0,2.0,0.42,,0.82,,0.2,1.0,0.3,0.3,0.1,0.0,0.1
Clint Capela,HOU,62.0,4.0,0.58,,0.56,,0.0,1.2,1.5,0.2,0.1,0.3,0.2
Fred VanVleet,HOU,62.0,26.0,0.39,,0.815,,2.2,12.1,3.1,5.0,1.2,0.4,1.5
Isaiah Crawford,HOU,0.0,0.0,,,,,,,,,,,
JD Davison,HOU,20.0,6.0,0.4,,0.7,,0.2,1.8,0.9,0.9,0.2,0.1,0.4
Jabari Smith Jr,HOU,74.0,32.0,0.45,,0.78,,2.2,14.8,6.5,1.7,0.7,0.9,1.2
Jae'Sean Tate,HOU,0.0,0.0,,,,,,,,,,,
Jeff Green,HOU,0.0,0.0,,,,,,,,,,,
Kevin Durant,HOU,66.0,31.0,0.515,,0.875,,2.1,22.8,5.0,4.2,0.7,0.8,2.7
Marcus Smart,HOU,66.0,11.0,0.39,,0.8,,0.6,3.9,1.1,1.4,0.7,0.2,0.6
Quadir Copeland,HOU,18.0,6.0,0.44,,0.75,,0.1,2.1,0.9,0.9,0.3,0.0,0.4
Reed Sheppard,HOU,78.0,25.0,0.435,,0.815,,2.8,14.0,2.9,3.6,1.4,0.6,1.5
Steven Adams,HOU,55.0,12.0,0.54,,0.59,,0.0,3.1,4.6,0.8,0.4,0.4,0.6
Tari Eason,HOU,58.0,25.0,0.425,,0.78,,1.5,10.5,6.0,1.4,1.2,0.5,1.3
Tristen Newton,HOU,12.0,6.0,0.41,,0.74,,0.4,2.7,0.8,0.6,0.2,0.1,0.4
Aaron Nesmith,IND,62.0,26.0,0.447,,0.835,,2.0,10.8,3.8,1.5,0.7,0.4,0.9
Andrew Nembhard,IND,66.0,30.0,0.462,,0.825,,1.5,14.0,3.1,5.4,0.9,0.2,1.9
Ben Sheppard,IND,58.0,10.0,0.43,,0.8,,0.8,2.9,1.3,0.7,0.3,0.1,0.3
Braden Smith,IND,18.0,6.0,0.41,,0.8,,0.3,1.8,0.6,1.3,0.3,0.0,0.5
Ethan Thompson,IND,26.0,8.0,0.45,,0.78,,0.4,2.6,0.9,0.8,0.3,0.1,0.4
Ivica Zubac,IND,66.0,30.0,0.615,,0.69,,0.0,14.8,11.2,2.4,0.5,1.0,1.6
Jarace Walker,IND,72.0,22.0,0.44,,0.75,,1.4,9.0,4.4,2.0,0.7,0.4,1.3
Jay Huff,IND,72.0,14.0,0.48,,0.82,,0.9,6.3,2.7,0.6,0.4,1.2,0.5
Johnny Furphy,IND,28.0,10.0,0.455,,0.74,,0.7,3.2,2.5,0.7,0.3,0.2,0.4
Kelly Oubre Jr,IND,62.0,25.0,0.455,,0.765,,1.4,11.3,4.1,1.3,1.1,0.4,1.1
Kobe Brown,IND,24.0,8.0,0.5,,0.7,,0.3,2.7,1.5,0.5,0.2,0.1,0.4
Larry Nance Jr,IND,42.0,8.0,0.5,,0.65,,0.3,2.1,1.8,0.7,0.4,0.2,0.4
Obi Toppin,IND,64.0,14.0,0.54,,0.75,,1.2,9.2,3.5,1.8,0.4,0.2,0.6
Pascal Siakam,IND,68.0,32.0,0.505,,0.735,,1.5,21.2,6.7,3.6,1.0,0.4,1.9
Quenton Jackson,IND,40.0,8.0,0.46,,0.82,,0.4,4.0,1.0,1.3,0.4,0.1,0.5
T.J. McConnell,IND,58.0,15.0,0.53,,0.8,,0.2,7.5,2.0,4.1,0.9,0.1,0.9
Taelon Peter,IND,30.0,7.0,0.43,,0.75,,0.5,2.4,0.9,0.5,0.3,0.1,0.4
Tyrese Haliburton,IND,66.0,32.0,0.472,,0.854,,2.6,18.4,3.5,9.1,1.3,0.5,1.9
Baba Miller,LAC,46.0,10.0,0.5,,0.675,,0.3,4.4,3.2,1.0,0.4,0.5,0.8
Bennedict Mathurin,LAC,65.0,29.0,0.44,,0.865,,1.4,17.5,5.1,2.5,0.8,0.2,2.2
Brook Lopez,LAC,66.0,22.0,0.43,,0.77,,1.5,8.4,3.7,1.3,0.5,1.2,0.8
Cam Christie,LAC,48.0,9.0,0.41,,0.77,,0.5,3.4,1.4,0.6,0.4,0.1,0.4
Darius Garland,LAC,62.0,32.0,0.455,,0.865,,2.6,19.4,2.5,7.2,1.0,0.2,2.9
Derrick Jones Jr,LAC,62.0,21.0,0.495,,0.76,,0.8,7.4,2.8,1.1,0.7,0.7,0.7
Fletcher Loyer,LAC,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,LAC,64.0,18.0,0.62,,0.65,,0.0,7.1,5.5,0.9,0.7,1.0,1.0
Jordan Miller,LAC,68.0,17.0,0.515,,0.78,,0.6,7.6,2.4,1.7,0.7,0.1,0.8
Kawhi Leonard,LAC,60.0,32.0,0.5,,0.885,,2.4,25.8,6.2,3.8,1.6,0.5,2.0
Keaton Wagler,LAC,70.0,28.0,0.435,,0.81,,2.2,14.6,4.0,4.0,0.9,0.3,2.1
Kobe Sanders,LAC,72.0,12.0,0.46,,0.82,,0.8,5.0,1.6,1.0,0.4,0.1,0.7
Kris Dunn,LAC,72.0,22.0,0.455,,0.76,,0.8,6.3,3.0,3.8,1.4,0.2,1.3
Narcisse Ngoy,LAC,0.0,0.0,,,,,,,,,,,
Nick Martinelli,LAC,28.0,9.0,0.465,,0.8,,0.4,4.2,1.9,0.6,0.3,0.1,0.4
Norchad Omier,LAC,6.0,4.0,0.7,,0.0,,0.0,2.8,1.2,0.3,0.2,0.0,0.0
Rui Hachimura,LAC,65.0,27.0,0.51,,0.72,,1.8,12.1,3.8,0.9,0.7,0.4,0.8
Sean Pedulla,LAC,20.0,8.0,0.42,,0.835,,0.6,4.0,1.1,1.6,0.3,0.0,0.7
Yanic Konan Niederhauser,LAC,27.0,11.0,0.62,,0.74,,0.0,4.4,3.1,0.4,0.2,0.7,0.7
Adou Thiero,LAL,25.0,6.0,0.516,,0.636,,0.0,1.9,1.1,0.4,0.3,0.1,0.4
Austin Reaves,LAL,67.0,34.0,,,,,2.4,23.6,4.8,6.2,1.1,0.4,3.0
Bronny James,LAL,27.0,6.7,0.313,,0.786,,0.3,2.3,0.7,0.8,0.3,0.1,0.5
Cameron Carr,LAL,64.0,8.0,,,,,0.8,4.2,1.7,0.6,0.3,0.3,0.6
